complex_id	complex_name	synonyms	organism	cell_line	pmid	comment_complex	comment_members	comment_disease	comment_drug	comment_drug_formal	subunits_uniprot_id	subunits_gene_name	subunits_gene_name_synonyms	subunits_protein_name	subunits_proteinname_synonyms	subunits_organism	subunits_drugs	subunits_mims	subunits_stoechiometrie	purification_methods	functions_evi	functions_pmid	functions_go_id	functions_go_name	functions_go_ontology	fcgs_description	fcgs_id	fcgs_name	fcgs_category_id	fcgs_category_name	fcgs_go_id	fcgs_go_name	fcgs_go_ontology
493	DAB complex	 TFIID-TFIIA-TFIIB complex	Human		2247058	DAB is a multiprotein complex consisting of TFIID complex, TFIIA complex and TFIIB.					P52655;P52657;Q00403;P21675;Q12962;Q15544;Q16514;Q15543;Q6P1X5;Q5VWG9;O00268;Q15542;P49848;Q15545;Q16594;P20226	GTF2A1;GTF2A2;GTF2B;TAF1;TAF10;TAF11;TAF12;TAF13;TAF2;TAF3;TAF4;TAF5;TAF6;TAF7;TAF9;TBP	TF2A1;TF2A2;TF2B,TFIIB;BA2R,CCG1,CCGS,TAF2A;TAF2A,TAF2H,TAFII30;TAF2I;TAF15,TAF2J,TAFII20;TAF2K,TAFII18;CIF150,TAF2B;;TAF2C,TAF2C1,TAF4A,TAFII130,TAFII135;TAF2D;TAF2E,TAFII70;TAF2F,TAFII55;TAF2G,TAFII31;GTF2D1,TF2D,TFIID	Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA subunit 2;Transcription initiation factor IIB;Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 10;Transcription initiation factor TFIID subunit 11;Transcription initiation factor TFIID subunit 12;Transcription initiation factor TFIID subunit 13;Transcription initiation factor TFIID subunit 2;Transcription initiation factor TFIID subunit 3;Transcription initiation factor TFIID subunit 4;Transcription initiation factor TFIID subunit 5;Transcription initiation factor TFIID subunit 6;Transcription initiation factor TFIID subunit 7;Transcription initiation factor TFIID subunit 9;TATA-box-binding protein	General transcription factor IIA subunit 1; TFIIA-42; TFIIAL; TFIIA p35 subunit; TFIIA p19 subunit; ;TFIIA-gamma;General transcription factor TFIIB; S300-II; ;TA;TA;TA;TAFII20/TAFII15;TA;TAFII150;TBP-associated factor 3; Transcription initiation factor TFIID 140 kDa subunit; 140 kDa TATA box-binding protein-associated factor; TAF140; TAFII140; ;TA;TA;TA;TA;TAFII-31;TATA-box factor; TATA-binding factor; TATA sequence-binding protein; Transcription initiation factor TFIID TBP subunit; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		300966;314250;617432;615599;620450;617126;607136	;;;;;;;;;;;;;;;	MI:0091:chromatography technology	exp;exp;lit;lit;lit	2247058;2247058;2247058;2247058;2247058	GO:0003677;GO:0005634;GO:0006352;GO:0006355;GO:2001141	DNA binding;nucleus;DNA-templated transcription initiation;regulation of DNA-templated transcription;regulation of RNA biosynthetic process	molecular_function;cellular_component;biological_process;biological_process;biological_process								
497	TAF4-TAF12 subcomplex of TFIID complex		Human		12237304	TAF12 forms a histone-like heterodimer with TAF4, rather than homodimerizing as suggested earlier (PMID:8598932).					Q16514;O00268	TAF12;TAF4	TAF15,TAF2J,TAFII20;TAF2C,TAF2C1,TAF4A,TAFII130,TAFII135	Transcription initiation factor TFIID subunit 12;Transcription initiation factor TFIID subunit 4	TAFII20/TAFII15;TA	Homo sapiens (Human);Homo sapiens (Human)		620450	1;1	MI:0004:affinity chromatography technology;MI:0114:x-ray crystallography	exp;exp;lit;lit;lit	12237304;12237304;12237304;12237304;12237304	GO:0005515;GO:0005634;GO:0006352;GO:0006355;GO:2001141	protein binding;nucleus;DNA-templated transcription initiation;regulation of DNA-templated transcription;regulation of RNA biosynthetic process	molecular_function;cellular_component;biological_process;biological_process;biological_process								
499	RYK-WNT1 complex		Human	293T cells	15454084						P34925;P04628	RYK;WNT1	JTK5A;INT1	Tyrosine-protein kinase RYK;Proto-oncogene Wnt-1	;	Homo sapiens (Human);Homo sapiens (Human)		166710;615220	;	MI:0019:coimmunoprecipitation	pred	15454084	GO:0016055	Wnt signaling pathway	biological_process								
500	RYK-WNT3A complex		Human	293T cells	15454084						P34925;P56704	RYK;WNT3A	JTK5A;	Tyrosine-protein kinase RYK;Protein Wnt-3a	;	Homo sapiens (Human);Homo sapiens (Human)			;	MI:0019:coimmunoprecipitation	pred	15454084	GO:0016055	Wnt signaling pathway	biological_process								
501	DVL1-RYK complex		Human	293T cells	15454084						O14640;P34925	DVL1;RYK	;JTK5A	Segment polarity protein dishevelled homolog DVL-1;Tyrosine-protein kinase RYK	Dishevelled-1;	Homo sapiens (Human);Homo sapiens (Human)		616331	;	MI:0019:coimmunoprecipitation	pred	15454084	GO:0016055	Wnt signaling pathway	biological_process								
508	TFIID complex		Human		8663456						P21675;Q12962;Q15544;Q16514;O00268;Q15542;P49848;Q15545;Q16594;P20226	TAF1;TAF10;TAF11;TAF12;TAF4;TAF5;TAF6;TAF7;TAF9;TBP	BA2R,CCG1,CCGS,TAF2A;TAF2A,TAF2H,TAFII30;TAF2I;TAF15,TAF2J,TAFII20;TAF2C,TAF2C1,TAF4A,TAFII130,TAFII135;TAF2D;TAF2E,TAFII70;TAF2F,TAFII55;TAF2G,TAFII31;GTF2D1,TF2D,TFIID	Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 10;Transcription initiation factor TFIID subunit 11;Transcription initiation factor TFIID subunit 12;Transcription initiation factor TFIID subunit 4;Transcription initiation factor TFIID subunit 5;Transcription initiation factor TFIID subunit 6;Transcription initiation factor TFIID subunit 7;Transcription initiation factor TFIID subunit 9;TATA-box-binding protein	TA;TA;TA;TAFII20/TAFII15;TA;TA;TA;TA;TAFII-31;TATA-box factor; TATA-binding factor; TATA sequence-binding protein; Transcription initiation factor TFIID TBP subunit; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		300966;314250;620450;617126;607136	;;;;;;;;;	MI:0006:anti bait coimmunoprecipitation	lit;exp;lit;lit;lit	8663456;8663456;8663456;8663456;8663456	GO:0003677;GO:0005634;GO:0006352;GO:0006355;GO:2001141	DNA binding;nucleus;DNA-templated transcription initiation;regulation of DNA-templated transcription;regulation of RNA biosynthetic process	molecular_function;cellular_component;biological_process;biological_process;biological_process								
509	TFIID complex		Human		8890175						P21675;Q12962;Q15544;Q16514;Q15543;Q92804;O00268;Q15542;P49848;Q15545;Q16594;P20226	TAF1;TAF10;TAF11;TAF12;TAF13;TAF15;TAF4;TAF5;TAF6;TAF7;TAF9;TBP	BA2R,CCG1,CCGS,TAF2A;TAF2A,TAF2H,TAFII30;TAF2I;TAF15,TAF2J,TAFII20;TAF2K,TAFII18;RBP56,TAF2N;TAF2C,TAF2C1,TAF4A,TAFII130,TAFII135;TAF2D;TAF2E,TAFII70;TAF2F,TAFII55;TAF2G,TAFII31;GTF2D1,TF2D,TFIID	Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 10;Transcription initiation factor TFIID subunit 11;Transcription initiation factor TFIID subunit 12;Transcription initiation factor TFIID subunit 13;TATA-binding protein-associated factor 2N;Transcription initiation factor TFIID subunit 4;Transcription initiation factor TFIID subunit 5;Transcription initiation factor TFIID subunit 6;Transcription initiation factor TFIID subunit 7;Transcription initiation factor TFIID subunit 9;TATA-box-binding protein	TA;TA;TA;TAFII20/TAFII15;TA;RNA-binding protein 56; TAFII68; TA; ;TA;TA;TA;TA;TAFII-31;TATA-box factor; TATA-binding factor; TATA sequence-binding protein; Transcription initiation factor TFIID TBP subunit; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		300966;314250;617432;620450;617126;607136	;;;;;;;;;;;	MI:0006:anti bait coimmunoprecipitation	exp;exp;lit;lit;lit	8890175;8890175;8890175;8890175;8890175	GO:0003677;GO:0005634;GO:0006352;GO:0006355;GO:2001141	DNA binding;nucleus;DNA-templated transcription initiation;regulation of DNA-templated transcription;regulation of RNA biosynthetic process	molecular_function;cellular_component;biological_process;biological_process;biological_process								
513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)		Human		15899866	Gene expression profiling revealed that Taf9 and Taf9b control the expression of different sets of genes.					O15265;Q92830;Q15393;O75486;O75528;Q12962;Q16514;Q6P1X5;O00268;Q15542;O75529;P49848;Q9Y6J9;Q15545;Q16594;Q9HBM6;Q9Y4A5	ATXN7;KAT2A;SF3B3;SUPT3H;TADA3;TAF10;TAF12;TAF2;TAF4;TAF5;TAF5L;TAF6;TAF6L;TAF7;TAF9;TAF9B;TRRAP	SCA7;GCN5,GCN5L2;KIAA0017,SAP130;SPT3;ADA3,TADA3L;TAF2A,TAF2H,TAFII30;TAF15,TAF2J,TAFII20;CIF150,TAF2B;TAF2C,TAF2C1,TAF4A,TAFII130,TAFII135;TAF2D;PAF65B;TAF2E,TAFII70;PAF65A;TAF2F,TAFII55;TAF2G,TAFII31;TAF9L;PAF400	Ataxin-7;Histone acetyltransferase KAT2A;Splicing factor 3B subunit 3;Transcription initiation protein SPT3 homolog;Transcriptional adapter 3;Transcription initiation factor TFIID subunit 10;Transcription initiation factor TFIID subunit 12;Transcription initiation factor TFIID subunit 2;Transcription initiation factor TFIID subunit 4;Transcription initiation factor TFIID subunit 5;TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L;Transcription initiation factor TFIID subunit 6;TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L;Transcription initiation factor TFIID subunit 7;Transcription initiation factor TFIID subunit 9;Transcription initiation factor TFIID subunit 9B;Transformation/transcription domain-associated protein	Spinocerebellar ataxia type 7 protein; ;hsGCN5;SAP 130;SPT3-like protein; ;ADA3-like protein;TA;TAFII20/TAFII15;TAFII150;TA;TA;PAF65-beta;TA;PAF65-alpha;TA;TAFII-31;DN-7;350/400 kDa PCAF-associated factor; PAF350/400; STAF40; Tra1 homolog; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		164500;615599;620450;617126;618454;618778	;;;;;;;;;;;;;;;;	MI:0004:affinity chromatography technology;MI:0006:anti bait coimmunoprecipitation;MI:0071:molecular sieving	exp;lit;lit;lit;lit;lit	15899866;15115762;15899866;15115762;15899866;15115762	GO:0005634;GO:0006265;GO:0006352;GO:0006473;GO:0045893;GO:0051276	nucleus;DNA topological change;DNA-templated transcription initiation;protein acetylation;positive regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process								
514	TFIID-beta complex		Human		15899866	Gene expression profiling revealed that Taf9 and Taf9b control the expression of different sets of genes.					P21675;Q12962;Q15544;Q16514;Q15543;O00268;Q15542;P49848;Q15545;Q16594;Q9HBM6;P20226	TAF1;TAF10;TAF11;TAF12;TAF13;TAF4;TAF5;TAF6;TAF7;TAF9;TAF9B;TBP	BA2R,CCG1,CCGS,TAF2A;TAF2A,TAF2H,TAFII30;TAF2I;TAF15,TAF2J,TAFII20;TAF2K,TAFII18;TAF2C,TAF2C1,TAF4A,TAFII130,TAFII135;TAF2D;TAF2E,TAFII70;TAF2F,TAFII55;TAF2G,TAFII31;TAF9L;GTF2D1,TF2D,TFIID	Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 10;Transcription initiation factor TFIID subunit 11;Transcription initiation factor TFIID subunit 12;Transcription initiation factor TFIID subunit 13;Transcription initiation factor TFIID subunit 4;Transcription initiation factor TFIID subunit 5;Transcription initiation factor TFIID subunit 6;Transcription initiation factor TFIID subunit 7;Transcription initiation factor TFIID subunit 9;Transcription initiation factor TFIID subunit 9B;TATA-box-binding protein	TA;TA;TA;TAFII20/TAFII15;TA;TA;TA;TA;TA;TAFII-31;DN-7;TATA-box factor; TATA-binding factor; TATA sequence-binding protein; Transcription initiation factor TFIID TBP subunit; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		300966;314250;617432;620450;617126;607136	;;;;;;;;;;;	MI:0004:affinity chromatography technology;MI:0006:anti bait coimmunoprecipitation;MI:0071:molecular sieving	lit;exp;exp;lit;lit	15899866;15899866;9603525;15899866;15899866	GO:0003677;GO:0005634;GO:0006352;GO:0006355;GO:2001141	DNA binding;nucleus;DNA-templated transcription initiation;regulation of DNA-templated transcription;regulation of RNA biosynthetic process	molecular_function;cellular_component;biological_process;biological_process;biological_process								
517	AKAP5-PPP3CA-PRKAR2A complex	CNA-AKAP79-PKA complex,	Human	in vitro	12507994						P24588;Q08209;P13861	AKAP5;PPP3CA;PRKAR2A	AKAP79;CALNA,CNA;PKR2,PRKAR2	A-kinase anchor protein 5;Protein phosphatase 3 catalytic subunit alpha;cAMP-dependent protein kinase type II-alpha regulatory subunit	AKAP 79;Calmodulin-dependent calcineurin A subunit alpha isoform; CAM-PRP catalytic subunit; ;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		617711;618265	;;	MI:0055:fluorescent resonance energy transfer	exp;exp;lit;lit;exp;exp;pred;pred	12507994;12507994;12507994;12507994;12507994;12507994;12507994;12507994	GO:0005856;GO:0005886;GO:0006468;GO:0006470;GO:0006605;GO:0015031;GO:0019722;GO:0048167	cytoskeleton;plasma membrane;protein phosphorylation;protein dephosphorylation;protein targeting;protein transport;calcium-mediated signaling;regulation of synaptic plasticity	cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process								
518	AKAP250-PDE4D-PRKACA complex		Human	HEK293 cells	16642035	PDE4D protein isoforms were specified as PDE4D5 and PDE4D3. The authors identified gravin as the AKAP responsible for the localized regulation of cAMP levels by PKA and PDE4 activity (PMID: 16642035).	Since the authors did not specify PKA catalytic subunit, we used PRKACA.		Apremilast is the only approved oral PDE-4 inhibitor for the treatment of psoriasis (PMID: 33763335). The PDE4 inhibitor rolipram, the PKA inhibitor H89 and the anchoring disruptor peptide St-Ht31 each inhibited the recovery of cAMP levels when compared to controls. The selective inhibitor rolipram did not increase basal cAMP levels, it profoundly inhibited the cAMP recovery profile, suggesting that PDE4 catalyzes the metabolism of subplasmalemmal cAMP (PMID: 16642035).		Q02952;Q08499;P17612	AKAP12;PDE4D;PRKACA	AKAP250;DPDE3;PKACA	A-kinase anchor protein 12;3',5'-cyclic-AMP phosphodiesterase 4D;cAMP-dependent protein kinase catalytic subunit alpha	AKAP 250;DPDE3; PDE43; ;PKA C-alpha	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	amlexanox;flavoxate;roflumilast;choline theophyllinate;bufylline;apremilast;crisaborole	614613;615830;619142	;;	MI:0019:coimmunoprecipitation;MI:0415:enzymatic study	lit;exp;exp;exp;exp;exp;exp;exp;exp;exp	16642035;16642035;16642035;16642035;16642035;16642035;16642035;16642035;16642035;16642035	GO:0004115;GO:0004691;GO:0005886;GO:0006605;GO:0006886;GO:0008104;GO:0019933;GO:0030234;GO:0034236;GO:0050790	3',5'-cyclic-AMP phosphodiesterase activity;cAMP-dependent protein kinase activity;plasma membrane;protein targeting;intracellular protein transport;protein localization;cAMP-mediated signaling;enzyme regulator activity;protein kinase A catalytic subunit binding;regulation of catalytic activity	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process;molecular_function;molecular_function;biological_process								
519	AKAP1-MYCBP-PRKAR2B complex	AMY-1-S-AKAP84-RII-beta complex	Human	HeLa cells, HEK293 cells	11483602	AMY-1 was found to bind in vitro and in vivo to the regulatory subunit II binding region of AKAP149 and S-AKAP84, a splicing variant of AKAP149 expressed in the testis. AMY-1 was expressed postmeiotically in the testis, as S-AKAP84 was expressed. Furthermore, S-AKAP84 and regulatory subunit II, a regulatory subunit of cAMP-dependent protein kinase, made a ternary complex in cells, and AMY-1 was localized in the mitochondria of HeLa and sperm in association with AKAP149 and S-AKAP84, respectively (PMID: 11483602).					Q92667;Q99417;P31323	AKAP1;MYCBP;PRKAR2B	AKAP149,PRKA1;AMY1;	A-kinase anchor protein 1, mitochondrial;c-Myc-binding protein;cAMP-dependent protein kinase type II-beta regulatory subunit	PRKA1;AMY-1;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;	MI:0019:coimmunoprecipitation	exp;lit;lit	11483602;11483602;11483602	GO:0005739;GO:0007276;GO:0019933	mitochondrion;gamete generation;cAMP-mediated signaling	cellular_component;biological_process;biological_process								
520	KCNQ1 macromolecular complex		Human	heart muscle	11799244	This complex is required for beta adrenergic receptor modulation of the KCNQ1-KCNE1 potassium channel.					Q99996;P51787;P62136;P17612;P13861	AKAP9;KCNQ1;PPP1CA;PRKACA;PRKAR2A	AKAP350,AKAP450,KIAA0803;KCNA8,KCNA9,KVLQT1;PPP1A;PKACA;PKR2,PRKAR2	A-kinase anchor protein 9;Potassium voltage-gated channel subfamily KQT member 1;Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;cAMP-dependent protein kinase catalytic subunit alpha;cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKA9;Voltage-gated potassium channel subunit Kv7.1; IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1; KQT-like 1; ;PP-1A;PKA C-alpha;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	guanidine;fampridine;amifampridine	611820;125853;192500;220400;607554;609621;615830;619142	;;;;	MI:0019:coimmunoprecipitation;MI:0096:pull down	exp;exp;exp	11799244;11799244;11799244	GO:0005216;GO:0019933;GO:0050896	monoatomic ion channel activity;cAMP-mediated signaling;response to stimulus	molecular_function;biological_process;biological_process								
521	Polycystin-1-E-cadherin-beta-catenin complex		Human	epithelium	14718571	Complex is disrupted in ADPKD cells.		Polycystin-1-E-cadherin-beta-catenin complex is involved in autosomal dominant polycystic kidney disease (ADPKD). The authors suggest that the expression of mutant polycystin-1 in ADPKD cells, which fails to be cell surface-expressed and assemble into multiprotein complexes with E-cadherin, results in altered cell-cell adhesion and polycystin-1 signaling, thereby triggering dedifferentiation.			P12830;P35222;P98161	CDH1;CTNNB1;PKD1	CDHE,UVO;CTNNB;	Cadherin-1;Catenin beta-1;Polycystin-1	E-cadherin;Beta-catenin; ;Autosomal dominant polycystic kidney disease 1 protein; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		119580;137215;167000;608089;114500;132600;155255;156240;167000;615075;617572;173900	;;	MI:0019:coimmunoprecipitation	exp;exp;exp;exp;exp;exp;exp	14718571;14718571;14718571;14718571;14718571;14718571;14718571	GO:0001822;GO:0002009;GO:0005737;GO:0005886;GO:0007043;GO:0030855;GO:0045216	kidney development;morphogenesis of an epithelium;cytoplasm;plasma membrane;cell-cell junction assembly;epithelial cell differentiation;cell-cell junction organization	biological_process;biological_process;cellular_component;cellular_component;biological_process;biological_process;biological_process								
522	Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex		Human	kidney epithelium	16038619	The authors conclude that even though the large multiprotein complex formed by polycystin-1, E-cadherin, beta-catenin and flotillin-2 is not associated with typical lipid rafts, it contains cholesterol molecules that mediate interactions between complexed proteins and may represent a specific membrane domain organization.		PKD1 is involved in ADPKD (autosomal dominant polycystic kidney disease).			P12830;P35222;Q14254;P98161	CDH1;CTNNB1;FLOT2;PKD1	CDHE,UVO;CTNNB;ESA1,M17S1;	Cadherin-1;Catenin beta-1;Flotillin-2;Polycystin-1	E-cadherin;Beta-catenin; ;ESA;Autosomal dominant polycystic kidney disease 1 protein; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		119580;137215;167000;608089;114500;132600;155255;156240;167000;615075;617572;173900	;;;	MI:0019:coimmunoprecipitation;MI:0029:cosedimentation through density gradient	lit	16038619	GO:0030301	cholesterol transport	biological_process								
525	TIP60 histone acetylase complex	TIP60-HAT complex	Human	HeLa cells	10966108	The TIP60 histone acetylase complex plays a role in DNA repair and apoptosis.	Additional unknown members of the TIP60 complex (p160, p150, p100, p70, p57, p40, p31, p29) have been isolated.				O96019;Q92993;Q9Y265;Q9Y230;Q9Y4A5	ACTL6A;KAT5;RUVBL1;RUVBL2;TRRAP	BAF53,BAF53A,INO80K;HTATIP,TIP60;INO80H,NMP238,TIP49,TIP49A;INO80J,TIP48,TIP49B;PAF400	Actin-like protein 6A;Histone acetyltransferase KAT5;RuvB-like 1;RuvB-like 2;Transformation/transcription domain-associated protein	53 kDa BRG1-associated factor A; Actin-related protein Baf53a; ArpNbeta; INO80 complex subunit K; ;60 kDa Tat interactive protein; Tip60; HIV-1 Tat interactive protein; cPL; ;49 kDa TBP-interacting protein;48 kDa TBP-interacting protein;350/400 kDa PCAF-associated factor; PAF350/400; STAF40; Tra1 homolog; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		619103;618454;618778	;;;;	MI:0007:anti tag coimmunoprecipitation;MI:0029:cosedimentation through density gradient	exp;exp;lit	10966108;10966108;10966108	GO:0003677;GO:0006281;GO:0006915	DNA binding;DNA repair;apoptotic process	molecular_function;biological_process;biological_process								
527	TRPC3-TRPC4 channel complex, redox-sensitive		Human	HEK293 cells	16537542	Complex analysed in the HEK293 expression system. The authors propose TRPC3 and TRPC4 as subunits of native endothelial cation channels that are governed by the cellular redox state.					Q13507;Q9UBN4	TRPC3;TRPC4	TRP3;	Short transient receptor potential channel 3;Short transient receptor potential channel 4	TrpC3;TrpC4	Homo sapiens (Human);Homo sapiens (Human)		616410	;	MI:0019:coimmunoprecipitation;MI:0055:fluorescent resonance energy transfer	exp;exp;exp;exp;exp;exp	16537542;16537542;16537542;16537542;16537542;16537542	GO:0000302;GO:0005216;GO:0005886;GO:0006812;GO:0006979;GO:0008324	response to reactive oxygen species;monoatomic ion channel activity;plasma membrane;monoatomic cation transport;response to oxidative stress;monoatomic cation transmembrane transporter activity	biological_process;molecular_function;cellular_component;biological_process;biological_process;molecular_function								
528	NuA4/Tip60-HAT complex		Human		12963728	The NuA4 histone acetyltransferase (HAT) multisubunit complex is responsible for acetylation of histone H4 and H2A N-terminal tails in yeast. The NuA4/Tip60 HAT complex is highly conserved in eukaryotes playing primary roles in transcription, cellular response to DNA damage, and cell cycle control.					O96019;Q9H0E9;Q9NPF5;Q96L91;Q9H2F5;Q9NXR8;Q92993;Q9HAF1;Q9UBU8;Q15014;Q9NV56;Q9Y265;Q9Y230;Q9Y4A5;O95619	ACTL6A;BRD8;DMAP1;EP400;EPC1;ING3;KAT5;MEAF6;MORF4L1;MORF4L2;MRGBP;RUVBL1;RUVBL2;TRRAP;YEATS4	BAF53,BAF53A,INO80K;SMAP,SMAP2;KIAA1425;CAGH32,KIAA1498,KIAA1818,TNRC12;;;HTATIP,TIP60;C1orf149,CENP-28,EAF6;MRG15;KIAA0026,MRGX;C20orf20;INO80H,NMP238,TIP49,TIP49A;INO80J,TIP48,TIP49B;PAF400;GAS41	Actin-like protein 6A;Bromodomain-containing protein 8;DNA methyltransferase 1-associated protein 1;E1A-binding protein p400;Enhancer of polycomb homolog 1;Inhibitor of growth protein 3;Histone acetyltransferase KAT5;Chromatin modification-related protein MEAF6;Mortality factor 4-like protein 1;Mortality factor 4-like protein 2;MRG/MORF4L-binding protein;RuvB-like 1;RuvB-like 2;Transformation/transcription domain-associated protein;YEATS domain-containing protein 4	53 kDa BRG1-associated factor A; Actin-related protein Baf53a; ArpNbeta; INO80 complex subunit K; ;TrCP120;DNMT1-associated protein 1;hDomino;;p47ING3 protein; ;60 kDa Tat interactive protein; Tip60; HIV-1 Tat interactive protein; cPL; ;Sarcoma antigen NY-SAR-91; ;MORF-related gene 15 protein; Transcription factor-like protein MRG15; MSL3-1 protein; ;MORF-related gene X protein; Transcription factor-like protein MRGX; MSL3-2 protein; ;;49 kDa TBP-interacting protein;48 kDa TBP-interacting protein;350/400 kDa PCAF-associated factor; PAF350/400; STAF40; Tra1 homolog; ;Gas41	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		275355;619103;618454;618778	;;;;;;;;;;;;;;	MI:0004:affinity chromatography technology	exp;lit;exp;lit;lit;exp	10966108;12963728;12963728;10966108;15196461;10966108	GO:0003677;GO:0004402;GO:0005634;GO:0006265;GO:0006281;GO:0051276	DNA binding;histone acetyltransferase activity;nucleus;DNA topological change;DNA repair;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process								
